time,leak_state,noise_dB,spre_dB
1607835600.0,,,
1607922000.0,0,15,13
1607922000.0,0,15,13
1608008400.0,0,14,3
1608094800.0,0,14,2
1608181200.0,0,13,5
1608267600.0,0,11,7
1608354000.0,,,
1608440400.0,0,12,9
1608699600.0,0,11,6
1608786000.0,0,7,22
1608872400.0,0,7,2
1608958800.0,0,8,3
1609045200.0,0,9,13
1609131600.0,0,9,5
1609218000.0,0,9,2
1609304400.0,0,8,2
1609390800.0,0,8,2
1609477200.0,0,9,6
1609563600.0,0,9,3
1609650000.0,,,
1609736400.0,0,9,2
1609822800.0,0,9,3
1609909200.0,0,9,2
1609995600.0,0,9,3
1610082000.0,0,8,2
1610168400.0,,,
1610254800.0,0,8,2
1610341200.0,0,8,2
1610427600.0,0,9,2
1610514000.0,0,24,27
1610600400.0,,,
1610686800.0,0,8,3
1610773200.0,0,8,2
1610859600.0,0,8,2
1610946000.0,0,8,2
1611032400.0,,,
1611118800.0,0,8,3
1611205200.0,0,8,3
1611291600.0,0,14,8
1611291600.0,0,8,2
1611378000.0,0,7,2
1611378000.0,0,7,2
1611464400.0,0,0,0
1611550800.0,0,7,2
1611637200.0,0,8,3
1611723600.0,0,9,27
1611810000.0,0,9,2
1611896400.0,0,9,3
1611982800.0,0,9,2
1612069200.0,0,10,2
1612155600.0,0,0,0
1612242000.0,0,10,2
1612328400.0,0,10,2
1612414800.0,0,10,3
1612501200.0,0,10,2
1612587600.0,0,11,3
1612587600.0,0,11,3
1612674000.0,0,11,2
1612760400.0,0,11,8
1612846800.0,0,12,3
1612933200.0,0,12,3
1613019600.0,0,12,3
1613127600.0,0,12,6
1613214000.0,0,11,3
1613300400.0,0,11,3
1613386800.0,0,0,0
1613473200.0,0,12,3
1613559600.0,0,12,3
1613649600.0,0,12,3
