time,value
1612497600.0,18.7
1612498500.0,18.6
1612499400.0,18.6
1612500300.0,18.5
1612501200.0,18.8
1612502100.0,19.3
1612503000.0,19.4
1612503900.0,19.4
1612504800.0,19.3
1612505700.0,19.0
1612506600.0,19.2
1612507500.0,18.9
1612508400.0,18.6
1612509300.0,18.4
1612510200.0,18.1
1612511100.0,18.2
1612512000.0,18.1
1612512900.0,18.1
1612513800.0,18.2
1612514700.0,18.1
1612515600.0,18.0
1612516500.0,18.1
1612517400.0,18.2
1612518300.0,18.0
1612519200.0,17.8
1612520100.0,17.6
1612521000.0,17.7
1612521900.0,17.9
1612522800.0,17.8
1612523700.0,17.9
1612524600.0,18.2
1612525500.0,18.0
1612526400.0,18.0
1612527300.0,18.0
1612528200.0,18.2
1612529100.0,18.3
1612530000.0,18.3
1612530900.0,18.4
1612531800.0,18.3
1612532700.0,18.1
1612533600.0,18.2
1612534500.0,18.3
1612535400.0,18.5
1612536300.0,18.7
1612537200.0,18.7
1612538100.0,18.4
1612539000.0,18.3
1612539900.0,18.5
1612540800.0,18.5
1612541700.0,18.5
1612542600.0,18.5
1612543500.0,18.2
1612544400.0,18.1
1612545300.0,18.2
1612546200.0,18.3
1612547100.0,18.2
1612548000.0,18.2
1612548900.0,18.1
1612549800.0,17.8
1612550700.0,17.5
1612551600.0,17.8
1612552500.0,17.4
1612553400.0,17.3
1612554300.0,17.3
1612555200.0,17.4
1612556100.0,17.6
1612557000.0,17.6
1612557900.0,18.0
1612558800.0,18.2
1612559700.0,18.5
1612560600.0,17.7
1612561500.0,18.4
1612562400.0,18.4
1612563300.0,18.0
1612564200.0,18.3
1612565100.0,18.0
1612566000.0,18.4
1612566900.0,17.6
1612567800.0,17.9
1612568700.0,17.6
1612569600.0,18.0
1612570500.0,18.2
1612571400.0,18.3
1612572300.0,18.3
1612573200.0,18.5
1612574100.0,18.5
1612575000.0,18.5
1612575900.0,18.7
1612576800.0,18.6
1612577700.0,18.7
1612578600.0,18.7
1612579500.0,18.7
1612580400.0,18.7
1612581300.0,18.7
1612582200.0,18.7
1612583100.0,18.7
1612584000.0,18.7
1612584900.0,18.6
1612585800.0,18.6
1612586700.0,18.4
1612587600.0,18.4
1612588500.0,19.5
1612589400.0,19.8
1612590300.0,19.7
1612591200.0,19.6
1612592100.0,19.2
1612593000.0,19.1
1612593900.0,19.0
1612594800.0,18.8
1612595700.0,18.6
1612596600.0,18.5
1612597500.0,18.2
1612598400.0,18.0
1612599300.0,18.0
1612600200.0,17.9
1612601100.0,17.6
1612602000.0,17.4
1612602900.0,17.1
1612603800.0,16.9
1612604700.0,17.0
1612605600.0,16.9
1612606500.0,16.7
1612607400.0,16.7
1612608300.0,16.7
1612609200.0,16.7
1612610100.0,16.5
1612611000.0,16.6
1612611900.0,17.0
1612612800.0,17.1
1612613700.0,17.2
1612614600.0,17.2
1612615500.0,17.4
1612616400.0,17.2
1612617300.0,17.3
1612618200.0,17.4
1612619100.0,17.5
1612620000.0,17.7
1612620900.0,17.7
1612621800.0,17.7
1612622700.0,17.8
1612623600.0,17.7
1612624500.0,17.7
1612625400.0,17.4
1612626300.0,17.6
1612627200.0,17.4
1612628100.0,17.4
1612629000.0,17.3
1612629900.0,17.2
1612630800.0,17.3
1612631700.0,17.5
1612632600.0,17.3
1612633500.0,17.5
1612634400.0,17.4
1612635300.0,17.4
1612636200.0,17.0
1612637100.0,16.9
1612638000.0,17.4
1612638900.0,17.3
1612639800.0,16.9
1612640700.0,17.0
1612641600.0,17.2
1612642500.0,17.5
1612643400.0,17.7
1612644300.0,17.8
1612645200.0,17.7
1612646100.0,18.2
1612647000.0,18.2
1612647900.0,18.4
1612648800.0,18.0
1612649700.0,18.0
1612650600.0,18.0
1612651500.0,18.2
1612652400.0,17.9
1612653300.0,17.5
1612654200.0,17.6
1612655100.0,18.0
1612656000.0,17.9
1612656900.0,18.1
1612657800.0,18.2
1612658700.0,18.4
1612659600.0,18.5
1612660500.0,18.5
1612661400.0,18.6
1612662300.0,18.6
1612663200.0,18.6
1612664100.0,18.7
1612665000.0,18.7
1612665900.0,18.7
1612666800.0,18.8
1612667700.0,18.8
1612668600.0,18.7
1612669500.0,18.7
1612670400.0,18.7
1612671300.0,18.7
1612672200.0,18.7
1612673100.0,18.6
1612674000.0,18.4
1612674900.0,19.8
1612675800.0,19.9
1612676700.0,19.9
1612677600.0,19.8
1612678500.0,19.8
1612679400.0,19.8
1612680300.0,19.4
1612681200.0,19.3
1612682100.0,19.1
1612683000.0,18.8
1612683900.0,18.8
1612684800.0,18.7
1612685700.0,18.5
1612686600.0,18.5
1612687500.0,18.4
1612688400.0,18.1
1612689300.0,18.0
1612690200.0,18.0
1612691100.0,18.0
1612692000.0,17.9
1612692900.0,18.1
1612693800.0,18.2
1612694700.0,18.2
1612695600.0,18.1
1612696500.0,18.3
1612697400.0,18.2
1612698300.0,18.1
1612699200.0,18.0
1612700100.0,18.2
1612701000.0,17.9
1612701900.0,18.0
1612702800.0,18.0
1612703700.0,18.1
1612704600.0,18.2
1612705500.0,18.4
1612706400.0,18.4
1612707300.0,18.4
1612708200.0,18.6
1612709100.0,18.8
1612710000.0,18.7
1612710900.0,18.8
1612711800.0,19.0
1612712700.0,19.0
1612713600.0,18.8
1612714500.0,18.8
1612715400.0,18.8
1612716300.0,18.6
1612717200.0,18.6
1612718100.0,18.5
1612719000.0,18.4
1612719900.0,18.3
1612720800.0,17.9
1612721700.0,17.8
1612722600.0,17.5
1612723500.0,17.5
1612724400.0,17.4
1612725300.0,17.5
1612726200.0,17.4
1612727100.0,17.1
1612728000.0,17.3
1612728900.0,17.3
1612729800.0,17.2
1612730700.0,17.7
1612731600.0,18.1
1612732500.0,17.8
1612733400.0,18.3
1612734300.0,18.5
1612735200.0,18.4
1612736100.0,18.4
1612737000.0,18.0
1612737900.0,18.6
1612738800.0,18.5
1612739700.0,17.8
1612740600.0,18.2
1612741500.0,18.2
1612742400.0,18.2
1612743300.0,18.2
1612744200.0,18.6
1612745100.0,18.6
1612746000.0,18.5
1612746900.0,18.5
1612747800.0,18.7
1612748700.0,18.6
1612749600.0,18.7
1612750500.0,18.8
1612751400.0,18.7
1612752300.0,18.8
1612753200.0,18.7
1612754100.0,18.7
1612755000.0,18.8
1612755900.0,18.8
1612756800.0,18.7
1612757700.0,18.7
1612758600.0,18.6
1612759500.0,18.4
1612760400.0,18.2
1612761300.0,19.6
1612762200.0,19.6
1612763100.0,19.5
1612764000.0,19.3
1612764900.0,18.8
1612765800.0,18.4
1612766700.0,18.2
1612767600.0,17.9
1612768500.0,17.6
1612769400.0,17.6
1612770300.0,18.1
1612771200.0,18.4
1612772100.0,18.2
1612773000.0,17.8
1612773900.0,17.8
1612774800.0,17.6
1612775700.0,17.8
1612776600.0,17.8
1612777500.0,17.8
1612778400.0,18.0
1612779300.0,17.9
1612780200.0,17.9
1612781100.0,17.5
1612782000.0,17.8
1612782900.0,17.8
1612783800.0,18.0
1612784700.0,18.2
1612785600.0,18.3
1612786500.0,18.1
1612787400.0,18.2
1612788300.0,18.2
1612789200.0,18.3
1612790100.0,18.3
1612791000.0,18.4
1612791900.0,18.4
1612792800.0,18.4
1612793700.0,18.6
1612794600.0,18.6
1612795500.0,18.8
1612796400.0,18.6
1612797300.0,18.6
1612798200.0,18.3
1612799100.0,18.3
1612800000.0,18.4
1612800900.0,18.2
1612801800.0,18.4
1612802700.0,18.3
1612803600.0,18.1
1612804500.0,17.9
1612805400.0,17.6
1612806300.0,17.8
1612807200.0,17.7
1612808100.0,17.8
1612809000.0,17.3
1612809900.0,17.4
1612810800.0,17.5
1612811700.0,17.0
1612812600.0,17.1
1612813500.0,16.9
1612814400.0,16.9
1612815300.0,17.4
1612816200.0,17.4
1612817100.0,17.7
1612818000.0,17.5
1612818900.0,17.7
1612819800.0,17.4
1612820700.0,18.1
1612821600.0,17.9
1612822500.0,17.7
1612823400.0,17.6
1612824300.0,18.1
1612825200.0,17.8
1612826100.0,17.4
1612827000.0,17.7
1612827900.0,18.0
1612828800.0,18.0
1612829700.0,18.1
1612830600.0,18.2
1612831500.0,18.3
1612832400.0,18.4
1612833300.0,18.3
1612834200.0,18.5
1612835100.0,18.7
1612836000.0,18.6
1612836900.0,18.5
1612837800.0,18.6
1612838700.0,18.6
1612839600.0,18.7
1612840500.0,18.7
1612841400.0,18.7
1612842300.0,18.7
1612843200.0,18.6
1612844100.0,18.5
1612845000.0,18.5
1612845900.0,18.4
1612846800.0,18.4
1612847700.0,19.3
1612848600.0,19.7
1612849500.0,19.6
1612850400.0,19.5
1612851300.0,18.9
1612852200.0,18.7
1612853100.0,18.3
1612854000.0,18.0
1612854900.0,17.8
1612855800.0,17.7
1612856700.0,18.0
1612857600.0,18.1
1612858500.0,17.9
1612859400.0,17.8
1612860300.0,17.7
1612861200.0,17.5
1612862100.0,17.7
1612863000.0,17.5
1612863900.0,17.5
1612864800.0,17.3
1612865700.0,17.5
1612866600.0,17.6
1612867500.0,17.8
1612868400.0,17.6
1612869300.0,17.7
1612870200.0,17.8
1612871100.0,18.1
