timestamp,value
1643688049.0,344.8234
1643688109.0,345.0659
1643688169.0,345.2543
1643688230.0,345.5438
1643688290.0,345.8492
1643688351.0,346.16
1643688411.0,346.403
1643688469.0,346.9513
1643688529.0,347.5401
1643688590.0,348.1179
1643688649.0,348.7569
1643688708.0,349.6741
1643688768.0,350.3422
1643688828.0,351.4633
1643688888.0,352.1112
1643688939.0,353.1659
1643688970.0,353.4682
1643689009.0,353.9643
1643689068.0,355.0804
1643689128.0,356.0506
1643689177.0,357.1146
1643689206.0,357.0985
1643689248.0,358.0005
1643689305.0,359.0335
1643689334.0,359.4522
1643689369.0,359.8199
1643689429.0,360.815
1643689488.0,361.6755
1643689548.0,362.6172
1643689608.0,363.4463
1643689664.0,364.4702
1643689694.0,364.7625
1643689728.0,365.3368
1643689788.0,366.2332
1643689849.0,367.0612
1643689909.0,367.9792
1643689968.0,368.7665
1643690028.0,369.6762
1643690064.0,370.0714
1643690095.0,360.0873
1643690125.0,357.7674
1643690154.0,355.9611
1643690185.0,352.3876
1643690214.0,349.1894
1643690244.0,347.0996
1643690275.0,344.6951
1643690304.0,342.2839
1643690334.0,340.674
1643690365.0,337.9431
1643690394.0,334.7106
1643690424.0,331.8093
1643690455.0,329.5523
1643690484.0,326.4117
1643690514.0,322.6462
1643690545.0,319.2756
1643690574.0,314.6708
1643690604.0,309.9753
1643690635.0,303.8276
1643690664.0,296.8444
1643690694.0,285.8409
1643690725.0,269.9698
1643690754.0,254.0155
1643690784.0,234.7984
1643690815.0,218.3792
1643690844.0,199.6846
1643690874.0,183.7197
1643690905.0,165.9355
1643690934.0,150.6958
1643690964.0,134.4117
1643690995.0,117.092
1643691024.0,112.9915
1643691055.0,115.5545
1643691084.0,117.7575
1643691115.0,120.406
1643691144.0,122.5194
1643691174.0,124.7912
1643691204.0,126.8721
1643691234.0,129.1678
1643691265.0,131.1606
1643691294.0,133.4491
1643691325.0,135.147
1643691354.0,137.2113
1643691385.0,139.1635
1643691414.0,140.9516
1643691444.0,142.9586
1643691474.0,144.6755
1643691504.0,146.5145
1643691535.0,148.0929
1643691564.0,149.966
1643691594.0,151.5578
1643691624.0,153.415
1643691654.0,155.0795
1643691685.0,156.78
1643691714.0,158.3019
1643691745.0,159.6807
1643691774.0,161.5653
1643691805.0,163.1208
1643691834.0,164.8449
1643691865.0,166.4178
1643691894.0,168.0139
1643691924.0,169.3822
1643691955.0,171.1858
1643691984.0,172.4873
1643692015.0,173.9841
1643692044.0,175.4382
1643692074.0,176.9518
1643692105.0,178.2935
1643692134.0,179.9242
1643692165.0,181.1694
1643692194.0,182.5923
1643692225.0,183.722
1643692254.0,185.1998
1643692285.0,186.4634
1643692314.0,188.0317
1643692344.0,189.2554
1643692375.0,190.7988
1643692404.0,192.1073
1643692435.0,193.7829
1643692464.0,195.3745
1643692495.0,197.2086
1643692524.0,199.2245
1643692554.0,201.4504
1643692585.0,203.5738
1643692614.0,206.158
1643692645.0,208.4806
1643692674.0,211.2687
1643692705.0,213.932
1643692735.0,216.9271
1643692764.0,219.7376
1643692795.0,222.806
1643692825.0,225.7499
1643692854.0,229.0121
1643692885.0,231.8782
1643692914.0,235.1834
1643692944.0,238.0399
1643692975.0,241.2665
1643693004.0,244.1215
1643693034.0,247.2699
1643693065.0,250.0996
1643693094.0,253.2959
1643693125.0,256.0851
1643693154.0,259.1025
1643693184.0,261.7945
1643693214.0,264.8831
1643693244.0,267.5764
1643693275.0,270.4185
1643693304.0,273.1155
1643693335.0,275.9466
1643693364.0,278.4006
1643693395.0,281.0962
1643693425.0,283.3376
1643693454.0,285.5941
1643693485.0,287.2837
1643693514.0,288.9653
1643693545.0,290.2646
1643693575.0,291.5238
1643693604.0,292.5678
1643693635.0,293.4881
1643693667.0,294.5336
1643693696.0,295.4381
1643693729.0,296.4637
1643693760.0,297.2907
1643693803.0,298.3708
1643693834.0,299.2148
1643693876.0,300.2449
1643693927.0,301.2545
1643693958.0,301.8664
1643693996.0,302.7288
1643694051.0,303.8115
1643694082.0,304.329
1643694115.0,305.0019
1643694176.0,305.9389
1643694224.0,306.9899
1643694254.0,307.3854
1643694296.0,308.1378
1643694356.0,309.0002
1643694416.0,309.7577
1643694476.0,310.6416
1643694535.0,311.4076
1643694595.0,312.2308
1643694656.0,312.8947
1643694716.0,313.5636
1643694776.0,314.171
1643694836.0,314.8351
1643694895.0,315.2908
1643694955.0,315.9389
1643695015.0,316.4172
1643695075.0,317.0792
1643695136.0,317.513
1643695196.0,318.0235
1643695256.0,318.4233
1643695316.0,318.9615
1643695375.0,319.279
1643695435.0,319.7383
1643695495.0,319.9786
1643695555.0,320.2097
1643695615.0,320.4999
1643695675.0,320.8248
1643695736.0,321.0464
1643695796.0,321.2779
1643695856.0,321.4609
1643695916.0,321.6752
1643695975.0,321.7648
1643696035.0,322.099
1643696095.0,322.4017
1643696155.0,322.6782
1643696216.0,323.1647
1643696276.0,323.7777
1643696335.0,324.5175
1643696395.0,325.1538
1643696456.0,325.9689
1643696516.0,326.598
1643696576.0,327.2469
1643696636.0,327.9887
1643696696.0,328.8022
1643696756.0,329.5581
1643696816.0,330.1997
1643696875.0,330.8033
1643696935.0,331.5537
1643696995.0,332.1977
1643697056.0,332.7741
1643697116.0,333.3433
1643697176.0,334.1535
