timestamp,ftr_vector
1607823000.0,"[19.2, 19.4, 19.4, 19.5, 19.5, 19.6, 19.6, 19.6, 19.7, 19.7]"
1607823900.0,"[19.4, 19.4, 19.5, 19.5, 19.6, 19.6, 19.6, 19.7, 19.7, 19.5]"
1607824800.0,"[19.4, 19.5, 19.5, 19.6, 19.6, 19.6, 19.7, 19.7, 19.5, 19.4]"
1607825700.0,"[19.5, 19.5, 19.6, 19.6, 19.6, 19.7, 19.7, 19.5, 19.4, 19.4]"
1607826600.0,"[19.5, 19.6, 19.6, 19.6, 19.7, 19.7, 19.5, 19.4, 19.4, 19.4]"
1607827500.0,"[19.6, 19.6, 19.6, 19.7, 19.7, 19.5, 19.4, 19.4, 19.4, 19.4]"
1607828400.0,"[19.6, 19.6, 19.7, 19.7, 19.5, 19.4, 19.4, 19.4, 19.4, 19.4]"
1607829300.0,"[19.6, 19.7, 19.7, 19.5, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4]"
1607830200.0,"[19.7, 19.7, 19.5, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.3]"
1607831100.0,"[19.7, 19.5, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.3, 19.3]"
1607832000.0,"[19.5, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.3, 19.3, 19.3]"
1607832900.0,"[19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.3, 19.3, 19.3, 19.3]"
1607833800.0,"[19.4, 19.4, 19.4, 19.4, 19.4, 19.3, 19.3, 19.3, 19.3, 20.5]"
1607834700.0,"[19.4, 19.4, 19.4, 19.4, 19.3, 19.3, 19.3, 19.3, 20.5, 20.6]"
1607835600.0,"[19.4, 19.4, 19.4, 19.3, 19.3, 19.3, 19.3, 20.5, 20.6, 20.6]"
1607836500.0,"[19.4, 19.4, 19.3, 19.3, 19.3, 19.3, 20.5, 20.6, 20.6, 20.6]"
1607837400.0,"[19.4, 19.3, 19.3, 19.3, 19.3, 20.5, 20.6, 20.6, 20.6, 20.4]"
1607838300.0,"[19.3, 19.3, 19.3, 19.3, 20.5, 20.6, 20.6, 20.6, 20.4, 20.4]"
1607839200.0,"[19.3, 19.3, 19.3, 20.5, 20.6, 20.6, 20.6, 20.4, 20.4, 20.2]"
1607840100.0,"[19.3, 19.3, 20.5, 20.6, 20.6, 20.6, 20.4, 20.4, 20.2, 20.1]"
1607841000.0,"[19.3, 20.5, 20.6, 20.6, 20.6, 20.4, 20.4, 20.2, 20.1, 20.0]"
1607841900.0,"[20.5, 20.6, 20.6, 20.6, 20.4, 20.4, 20.2, 20.1, 20.0, 19.9]"
1607842800.0,"[20.6, 20.6, 20.6, 20.4, 20.4, 20.2, 20.1, 20.0, 19.9, 19.6]"
1607843700.0,"[20.6, 20.6, 20.4, 20.4, 20.2, 20.1, 20.0, 19.9, 19.6, 19.6]"
1607844600.0,"[20.6, 20.4, 20.4, 20.2, 20.1, 20.0, 19.9, 19.6, 19.6, 19.4]"
1607845500.0,"[20.4, 20.4, 20.2, 20.1, 20.0, 19.9, 19.6, 19.6, 19.4, 19.3]"
1607846400.0,"[20.4, 20.2, 20.1, 20.0, 19.9, 19.6, 19.6, 19.4, 19.3, 19.1]"
1607847300.0,"[20.2, 20.1, 20.0, 19.9, 19.6, 19.6, 19.4, 19.3, 19.1, 18.9]"
1607848200.0,"[20.1, 20.0, 19.9, 19.6, 19.6, 19.4, 19.3, 19.1, 18.9, 18.8]"
1607849100.0,"[20.0, 19.9, 19.6, 19.6, 19.4, 19.3, 19.1, 18.9, 18.8, 18.8]"
1607850000.0,"[19.9, 19.6, 19.6, 19.4, 19.3, 19.1, 18.9, 18.8, 18.8, 18.8]"
1607850900.0,"[19.6, 19.6, 19.4, 19.3, 19.1, 18.9, 18.8, 18.8, 18.8, 18.9]"
