timestamp,ftr_vector
1614122020.0,"[8422.242357142857, 9062.820125, 8925.183655172412, 9343.712046511628, 10650.389557251907, 12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331]"
1614122024.0,"[9062.820125, 8925.183655172412, 9343.712046511628, 10650.389557251907, 12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367]"
1614122032.0,"[8925.183655172412, 9343.712046511628, 10650.389557251907, 12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333]"
1614122044.0,"[9343.712046511628, 10650.389557251907, 12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219]"
1614122048.0,"[10650.389557251907, 12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667]"
1614122056.0,"[12167.29994011976, 13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023]"
1614122064.0,"[13101.518333333333, 12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267]"
1614122068.0,"[12234.354753363228, 12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195]"
1614122088.0,"[12022.597236842106, 11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195, 10602.065081967212]"
1614122096.0,"[11808.93060150376, 10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195, 10602.065081967212, 10247.880512820511]"
1614122100.0,"[10219.339155844156, 9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195, 10602.065081967212, 10247.880512820511, 10151.214257812499]"
1614122104.0,"[9054.85031313131, 9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195, 10602.065081967212, 10247.880512820511, 10151.214257812499, 9646.626725925926]"
1614122120.0,"[9592.014413793102, 9269.309177419356, 8412.512230769229, 8691.800213333334, 8571.49264556962, 7640.227311320755, 7679.57193939394, 7779.809737704918, 7634.440892857143, 7823.612603448275, 8176.808626865671, 8059.033333333331, 7962.248578947367, 7644.187683333333, 8253.1219, 8704.576616666667, 8943.12291954023, 9408.366443850267, 9744.541719512195, 10602.065081967212, 10247.880512820511, 10151.214257812499, 9646.626725925926, 7721.552912621359]"
