timestamp,ftr_vector
1608326280.0,"[0.20384766666666668, 0.17201783333333331, 0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004]"
1608326340.0,"[0.17201783333333331, 0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666]"
1608326400.0,"[0.17201783333333331, 0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666]"
1608326460.0,"[0.17201783333333331, 0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666]"
1608326520.0,"[0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667]"
1608326580.0,"[0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664, 0.26307050000000004]"
1608326640.0,"[0.20384766666666668, 0.17201783333333331, 0.15417866666666669, 0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004]"
1608326700.0,"[0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664]"
1608326760.0,"[0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664, 0.26307050000000004, 0.2557853333333333]"
1608326820.0,"[0.149158, 0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664]"
1608326880.0,"[0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664, 0.26307050000000004, 0.2557853333333333, 0.23091316666666664, 0.20820550000000002, 0.16857366666666668, 0.1588993333333333]"
1608326940.0,"[0.2506506666666667, 0.26011016666666664, 0.26307050000000004, 0.2557853333333333, 0.23091316666666664, 0.20820550000000002, 0.16857366666666668, 0.1588993333333333, 0.14685199999999998, 0.14600766666666665]"
1608327000.0,"[0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664, 0.26307050000000004]"
1608327060.0,"[0.1394565, 0.18273583333333332, 0.26698416666666663, 0.2485821666666666, 0.249376, 0.25294350000000004, 0.25818416666666666, 0.2506506666666667, 0.26011016666666664, 0.26307050000000004]"
