timestamp,ftr_vector
1608326280.0,"[0.2045958333333333, 0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006]"
1608326340.0,"[0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666]"
1608326400.0,"[0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667]"
1608326460.0,"[0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337]"
1608326520.0,"[0.2045958333333333, 0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006]"
1608326580.0,"[0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666]"
1608326640.0,"[0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333]"
1608326700.0,"[0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333]"
1608326760.0,"[0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326]"
1608326820.0,"[0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666]"
1608326880.0,"[0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333]"
1608326940.0,"[0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346, 0.2831318333333333, 0.303523, 0.30391850000000004]"
1608327000.0,"[0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326]"
1608327060.0,"[0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346, 0.2831318333333333, 0.303523, 0.30391850000000004, 0.2862675, 0.2912535, 0.2884361666666667]"
1608327120.0,"[0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666]"
1608327180.0,"[0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346, 0.2831318333333333, 0.303523]"
1608327240.0,"[0.2045958333333333, 0.17943983333333335, 0.15523083333333337, 0.14916766666666667, 0.152984, 0.16763899999999998, 0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006]"
1608327300.0,"[0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346]"
1608327360.0,"[0.2156905, 0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346]"
1608327420.0,"[0.28122316666666664, 0.3089685, 0.31370850000000006, 0.3192316666666666, 0.3068221666666667, 0.29098333333333337, 0.2904583333333333, 0.27645283333333326, 0.274346, 0.2831318333333333]"
1608327480.0,"[0.2831318333333333, 0.303523, 0.30391850000000004, 0.2862675, 0.2912535, 0.2884361666666667, 0.32869016666666667, 0.30261883333333334, 0.29992216666666666, 0.2899668333333334]"
1608327540.0,"[0.274346, 0.2831318333333333, 0.303523, 0.30391850000000004, 0.2862675, 0.2912535, 0.2884361666666667, 0.32869016666666667, 0.30261883333333334, 0.29992216666666666]"
