timestamp,ftr_vector
1459926000,[1.0]
1459929600,[1.0]
1459933200,[1.0]
1459936800,[1.0]
1459940400,[1.0]
1459944000,[1.0]
1459947600,[1.0]
1459951200,[1.0]
1459954800,[1.0]
1459958400,[1.0]
1459962000,[1.0]
1459965600,[1.0]
1459969200,[1.0]
1459972800,[1.0]
1459976400,[1.0]
1459980000,[1.0]
1459983600,[1.0]
1459987200,[1.0]
1459990800,[1.0]
1459994400,[1.0]
1459998000,[1.0]
1460001600,[1.0]
1460005200,[1.0]
1460008800,[1.0]
1460012400,[1.0]
1460016000,[1.0]
1460019600,[1.0]
1460023200,[1.0]
1460026800,[1.0]
1460030400,[1.0]
1460034000,[1.0]
1460037600,[1.0]
1460041200,[1.0]
1460044800,[1.0]
1460048400,[1.0]
1460052000,[1.0]
1460055600,[1.0]
1460059200,[1.0]
1460062800,[1.0]
1460066400,[1.0]
1460070000,[1.0]
1460073600,[1.0]
1460077200,[1.0]
1460080800,[1.0]
1460084400,[1.0]
1460088000,[1.0]
1460091600,[1.0]
1460095200,[1.0]
1460098800,[1.0]
1460102400,[1.0]
1460106000,[1.0]
1460109600,[1.0]
1460113200,[1.0]
1460116800,[1.0]
1460120400,[1.0]
1460124000,[1.0]
1460127600,[1.0]
1460131200,[1.0]
1460134800,[1.0]
1460138400,[1.0]
1460142000,[1.0]
1460145600,[1.0]
1460149200,[1.0]
1460152800,[1.0]
1460156400,[1.0]
1460160000,[1.0]
1460163600,[1.0]
1460167200,[1.0]
1460170800,[1.0]
1460174400,[1.0]
1460178000,[1.0]
1460181600,[1.0]
1460185200,[1.0]
1460188800,[1.0]
1460192400,[1.0]
1460196000,[1.0]
1460199600,[1.0]
1460203200,[1.0]
1460206800,[1.0]
1460210400,[1.0]
1460214000,[1.0]
1460217600,[1.0]
1460221200,[1.0]
1460224800,[1.0]
1460228400,[1.0]
1460232000,[1.0]
1460235600,[1.0]
1460239200,[1.0]
1460242800,[1.0]
1460246400,[1.0]
1460250000,[1.0]
1460253600,[1.0]
1460257200,[1.0]
1460260800,[1.0]
1460264400,[1.0]
1460268000,[1.0]
1460271600,[1.0]
1460275200,[1.0]
1460278800,[1.0]
1460282400,[0.0]
